text,hashtags,likes,has_media,retweets,img_urls,screen_name,timestamp,is_replied,is_reply_to,parent_tweet_id,replies,tweet_id,tweet_url,user_id,username
"#NBAisBack #NBA

Hey the NBA is back! 

Serving China 
1 million slaves are being used to make Nike shoes",NBAisBack|NBA,2,False,0,,LMFireSystems1,2020-07-23 23:24:57,True,False,,2,1286442204827877376,/LMFireSystems1/status/1286442204827877376,1270089578511204353,Redneck Azn
Seth curry is green bean .... AD has not miss one beat #NBA,NBA,1,False,0,,JDAWG_KINGME92,2020-07-23 23:24:51,False,False,,0,1286442179574091785,/JDAWG_KINGME92/status/1286442179574091785,1197998865934356481,AJ
#NBA #WholeNewGame #NBABDAY #Scrimmage #NFLpic.twitter.com/UjKepbYXyA,NBA|WholeNewGame|NBABDAY|Scrimmage|NFLpic,2,True,0,https://pbs.twimg.com/media/EdpcVVyXYAYRv5f.jpg,Buyaw,2020-07-23 23:24:48,False,True,1286441428181188609,0,1286442168853250051,/Buyaw/status/1286442168853250051,58830184,: Ballercoaster
Διαβάζεις τη συνέντευξη του @EnesKanter και απλά αναρωτιέσαι πόσο αρχιδατος μπορεί να γίνει ένας αθλητής όταν υπερασπιζεται όντως  τις αξίες που εκπροσωπεί ένας αθλητής.. Για μένα είναι ήδη halloffamer.. Ετσι απλά για το γαμωτο #eneskanter #nba #turkey #Ελλάδα #Greece,eneskanter|nba|turkey|Ελλάδα|Greece,1,False,0,,a_k_i_s_SBV,2020-07-23 23:24:38,False,False,,0,1286442125979262976,/a_k_i_s_SBV/status/1286442125979262976,2999390135,Απροσαρμοστον Τεκνον ☘️🧐
Feels good watching #Lebron ball again😆 #Lakers #NBA,Lebron|Lakers|NBA,0,False,0,,ChaliciaMisick,2020-07-23 23:24:31,False,False,,0,1286442098871406592,/ChaliciaMisick/status/1286442098871406592,1243287118941687808,Your Favorite Fasting Coach💪🏻
Damn... Hopefully KCP just gets taped up and continues to run just for a bit more. Both teams have been looking good so far #NBA,NBA,0,False,0,,FutureGM_Takes,2020-07-23 23:24:23,False,False,,0,1286442064251457536,/FutureGM_Takes/status/1286442064251457536,2903184384,GM Takes
"Giannis No-Look Pass 👀: Greek Freak finds Robin Lopez in the corner with this no-look dime 🎥
http://bleacherreport.com/post/milwaukee-bucks/074f8356-f441-4a29-8000-8030f77f25aa ….    #NBA.  #Bucks.",NBA|Bucks,0,False,0,,QueensIceZ,2020-07-23 23:24:23,False,False,,0,1286442062284558337,/QueensIceZ/status/1286442062284558337,49080826,Zack
🙏🏻 🎅 💯 🔥 #MFFL #NBA #Mavspic.twitter.com/hzkCyyDsZm,MFFL|NBA|Mavspic,0,True,0,https://pbs.twimg.com/media/EdpcM_eXgAEce2D.jpg,Austin37745149,2020-07-23 23:24:20,False,False,,0,1286442052117561345,/Austin37745149/status/1286442052117561345,1225268429302751232,Austin__S
"Quanto tempo passou nessa quarentena?
Pq o papai LeBron voltou praticamente um vovô LeBron!
#NBA #NBAnaESPN",NBA|NBAnaESPN,0,False,0,,danielrmb,2020-07-23 23:24:02,False,False,,0,1286441975537979392,/danielrmb/status/1286441975537979392,1146749978,Daniel Moreira
Can we get better commentators? If you don’t know the players then get off the mic @NBA #lakers #mavericks #NBABubble #NBA,lakers|mavericks|NBABubble|NBA,0,False,0,,thenarddog23,2020-07-23 23:23:57,False,False,,0,1286441955547918340,/thenarddog23/status/1286441955547918340,569649707,The Nard Dog
